deprate,kerfeed,kertemp,waterph,waterlev,brinelev
7.3605,5.158,32.119,11.7,25.0218,60.9795
7.4952,5.2524,32.1684,11.8,24.6892,62.1204
7.8253,5.4837,32.8518,11.8,24.8595,61.5241
8.0695,5.6549,32.9993,11.7,31.0294,60.9065
7.7597,5.4377,33.2611,11.7,28.3202,62.7387
7.877,5.52,33.346,11.7,27.5053,60.1269
7.6567,5.3656,36.2891,11.7,29.5485,59.5906
7.8609,5.5087,33.1922,11.8,26.2556,60.398
7.9492,5.5706,33.4733,11.7,26.1412,60.9736
7.9562,5.5755,33.7762,11.7,38.4518,60.8473
8.9195,6.2505,33.6918,11.7,37.0398,59.3928
7.6766,5.3795,34.9838,11.9,36.2278,60.3906
11.6362,8.1543,32.4748,12,30.1369,60.862
11.8785,8.3241,32.4805,12,28.7986,60.1953
11.6876,8.1903,31.9056,12,25.4812,59.67
11.4159,7.9999,32.5715,11.9,29.8005,60.1689
13.295,9.3167,33.2245,12,35.5625,59.3849
13.3951,9.3868,33.6996,12.2,28.3047,58.9848
12.1197,8.4931,33.4899,12.2,28.7223,58.8148
10.1367,7.1034,34.0121,12.2,37.8906,58.7294
10.54,7.3861,34.6413,12.2,33.7884,58.362
10.7365,7.5238,35.1396,12,33.6263,58.3324
10.6534,7.4656,35.0975,12,36.7743,58.3737
10.8349,7.5928,34.8994,12,33.1106,58.1854
10.8392,7.5958,35.216,12.4,32.0056,58.7003
10.9094,7.645,34.3569,12.4,38.0185,57.0738
10.9646,7.6837,35.2729,12,35.2012,58.6256
10.4135,7.2975,35.4807,12,32.3119,57.787
9.7869,6.8583,34.4609,11.7,40.0005,57.9954
9.3687,6.5653,34.5403,11.7,40.04,57.7056
9.3166,6.5288,34.7154,11.6,40.1285,57.5697
8.58,6.0126,34.1517,11.7,37.2217,57.4482
9.0851,6.3665,34.1664,11.5,35.8227,58.1425
10.3891,7.2803,34.6702,11.7,31.8905,59.2268
11.185,7.8381,35.226,11.7,29.8336,59.0153
12.0954,8.476,35.9401,11.7,25.4548,59.6546
12.2799,8.6053,35.6904,11.8,23.7481,58.2794
12.4048,8.6929,35.1854,11.7,35.8864,58.7853
12.1038,8.4819,33.6839,11.8,31.9886,58.5518
12.0741,8.4612,33.4043,11.8,28.3277,58.0929
10.3645,7.2631,33.6752,11.8,33.5122,58.056
8.7024,6.0984,32.2411,11.7,35.1745,58.6248
9.2754,6.4999,32.8118,11.7,32.7484,58.874
7.1684,5.0234,32.8957,11.7,30.5584,60.361
7.2188,5.0587,33.014,12,30.6723,58.6822
7.6742,5.3778,34.2385,12,30.9424,58.5544
8.3744,5.8685,34.5598,12,34.7624,57.3096
8.436,5.9116,35.0072,12,38.4953,59.4403
8.4405,5.9148,34.9779,12,37.1548,55.77
8.5462,5.9889,34.93,12,36.8679,58.63
8.3104,5.8237,35.0354,11.6,38.244,55.4935
8.0062,5.6105,34.5568,11.7,39.9838,57.7686
8.0066,5.6108,33.9478,11.7,39.6498,56.3427
8.1398,5.7041,34.5906,11.7,39.9216,52.5275
8.5191,5.9699,34.7225,11.7,39.862,53.6757
8.3176,5.8287,34.913,11.6,39.6298,50.3718
8.1192,5.6896,34.6284,11.6,39.6301,44.6787
