"x"
"(Intercept)"	2.56398671770352
"D1"	-0.177850265460899
"D2"	-0.560497148038772
"D3"	0.0381085088559868
"D4"	-0.139710803551808
"D5"	-0.119192004643292
"D6"	-0.287739147739555
"D7"	-0.199317401338444
"D8"	0.38832502386985
"KerFeed"	0.205752180916797
"KerTemp"	0.00738470752780896
"WaterLev"	0.0270951986313087
"WaterpH"	-0.00331803907642419
"ECPdP"	0.0243408834946924
"ECPLev"	0.0109332227155867
"ReactorIP"	0.0152978937399284
"ReactorCauLev"	0.00489693324134892
"ClaydP"	-0.00837389052795527
"ClayOP"	0.0566902030620803
