"x"
"(Intercept)"	2.59132648688595
"D1"	-0.146256360814401
"D2"	-0.530030094253358
"D3"	0.0661244022230491
"D4"	-0.149984570865727
"D5"	-0.175655123429449
"D6"	-0.303417831311487
"D7"	-0.210779455759283
"D8"	0.329049147992334
"KerFeed"	0.212523100717333
"KerTemp"	0.00157285523804394
"WaterLev"	0.00436856393878135
"BrineLev"	-0.007513941622832
"WaterpH"	0.00110702535562032
"ECPdP"	0.00594250497146381
"ECPLev"	-0.00143981900484106
"ReactorIP"	-0.018603974638081
"ReactorCauLev"	0.00168613208308963
"ClaydP"	0.00757912137092833
"ClayOP"	0.00305575500611848
"KerFeed:ReactorIP"	-0.0358682016129988
"ReactorIP:ClayOP"	0.0156542976715432
"KerFeed:ClayOP"	-0.0235873778008845
"KerFeed:KerTemp"	-0.009054221931179
"KerFeed:WaterpH"	0.00528749504473332
"KerTemp:ReactorIP"	0.00331495886482414
"WaterLev:WaterpH"	-0.00229193179504572
