"x"
"1"	1
"2"	2
"3"	3
"4"	4
"24"	24
"25"	25
"45"	44
"47"	46
"50"	49
"51"	50
"54"	53
"55"	54
"59"	58
"60"	59
"197"	190
"198"	191
"199"	192
"200"	193
"201"	194
"203"	195
"204"	196
"205"	197
"206"	198
"207"	199
"208"	200
"307"	289
"308"	290
"402"	382
"403"	383
"472"	449
"474"	451
"649"	619
"882"	842
"883"	843
"884"	844
"887"	847
"888"	848
"889"	849
"890"	850
"891"	851
"892"	852
"893"	853
"894"	854
"895"	855
"896"	856
"897"	857
"898"	858
"899"	859
"900"	860
"901"	861
"902"	862
"903"	863
"904"	864
"906"	865
"907"	866
"1033"	988
"1034"	989
"1035"	990
"1036"	991
"1048"	1003
"1055"	1009
"1250"	1192
"1251"	1193
"1253"	1194
"1255"	1195
"1256"	1196
"1262"	1202
"1263"	1203
"1389"	1324
"1390"	1325
"1431"	1363
"1432"	1364
"1458"	1390
"1606"	1530
"1607"	1531
"1608"	1532
"1609"	1533
"1610"	1534
"1611"	1535
"1612"	1536
"1613"	1537
"1614"	1538
"1615"	1539
"1616"	1540
"1617"	1541
"1618"	1542
"1619"	1543
"1620"	1544
"1621"	1545
"1622"	1546
"1623"	1547
"1624"	1548
"1625"	1549
"1626"	1550
"1627"	1551
"1628"	1552
"1629"	1553
"1630"	1554
"1631"	1555
"1632"	1556
"1633"	1557
"1635"	1558
"1636"	1559
"1637"	1560
"1638"	1561
"1639"	1562
"1640"	1563
"1641"	1564
"1642"	1565
"1643"	1566
"1644"	1567
"1645"	1568
"1646"	1569
"1647"	1570
"1648"	1571
"1649"	1572
"1650"	1573
"1651"	1574
"1652"	1575
"1653"	1576
"1654"	1577
"1655"	1578
"1660"	1583
"1677"	1598
"1681"	1602
"1682"	1603
"1683"	1604
"1685"	1605
"1686"	1606
"1687"	1607
"1688"	1608
"1689"	1609
"1690"	1610
"1691"	1611
"1692"	1612
"1694"	1613
"1695"	1614
"1696"	1615
"1699"	1618
"1721"	1639
"1736"	1653
"1737"	1654
"1738"	1655
"1739"	1656
"1740"	1657
"1743"	1660
"1744"	1661
"1745"	1662
"1768"	1684
"1825"	1736
"1826"	1737
"1827"	1738
"1828"	1739
"1829"	1740
"1830"	1741
"1832"	1742
"1833"	1743
"1834"	1744
"1839"	1748
"1846"	1754
"1847"	1755
"1848"	1756
"1849"	1757
"1851"	1759
"1852"	1760
"1854"	1762
"1858"	1766
"1860"	1768
"1861"	1769
"1862"	1770
"1863"	1771
"1864"	1772
"1865"	1773
"1866"	1774
"1867"	1775
