DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
12.6736,1,0,0,0,0,0,0,0,0.909870251,0.117610563,-1.335186896,0.557644941,0.616702105,1.630321185,-0.664540886,0.334008712,0.515696945,0.583090894,0.788610418,0.521946896,0.767085502
13.4239,1,0,0,0,0,0,0,0,1.088544496,0.072049499,-1.718410146,0.704456654,0.831272975,0.741168409,-0.683783501,0.315338666,0.702100751,1.445869319,0.549277334,0.664212129,0.777718167
13.2645,1,0,0,0,0,0,0,0,1.050580042,-0.135950465,0.273276466,1.290946743,0.831272975,0.068499958,-0.700277171,0.261293797,0.602920208,0.899425186,0.984331696,0.529548855,0.794578535
12.1517,1,0,0,0,0,0,0,0,0.785542614,-0.831325468,-0.456624684,1.250706778,0.831272975,0.055151058,-0.701651644,0.260311163,0.40845219,-0.010336222,1.330035041,0.368821722,0.794578535
11.0688,1,0,0,0,0,0,0,0,0.527642639,-0.821641555,-0.934543137,1.297586502,0.831272975,0.112028977,-0.700277171,0.264241699,0.348619442,-0.147280941,1.491185984,0.195424656,0.794072217
11.035,1,0,0,0,0,0,0,0,0.519587513,-0.806736495,-1.22939258,1.270737923,0.831272975,0.160201092,-0.700277171,0.261293797,0.366833439,-0.080009851,1.141759681,0.245380387,0.794274744
10.8403,1,0,0,0,0,0,0,0,0.473194068,-0.678191292,-1.038395632,1.281069362,0.831272975,-0.01507576,-0.700277171,0.263259065,0.379161488,0.016091706,1.139632276,0.223660504,0.794224113
10.859,1,0,0,0,0,0,0,0,0.477680467,-0.524619589,0.06584389,1.291835115,0.831272975,0.243196423,-0.700277171,0.261293797,0.339628309,-0.141141119,1.462466014,0.123749043,0.794072217
10.3748,1,0,0,0,0,0,0,0,0.362359616,-0.429530558,-0.353058573,1.309655201,0.831272975,0.164263801,-0.447374232,0.264241699,0.30079032,-0.243382498,1.625212511,0.00356569,0.793768427
6.1791,1,0,0,0,0,0,0,0,-0.636985793,-1.426886157,0.202337138,1.473655269,0.831272975,0.410347859,-0.916069353,0.209214196,0.060161639,-0.077340363,0.04827341,-1.170031984,0.227199299
7.1078,1,0,0,0,0,0,0,0,-0.41579272,-1.389579755,-0.265341353,0.668586163,-0.885287873,0.173549992,-0.700277171,0.260311163,0.043291677,-0.295971406,0.792333377,-0.511195535,0.64308838
10.7505,1,0,0,0,0,0,0,0,0.451815696,-1.26622653,-0.423355285,0.7089709,0.402131234,0.232749459,-0.700277171,0.263259065,0.18070771,-0.13660299,0.112095566,0.055331411,0.643341539
10.632,1,0,0,0,0,0,0,0,0.423571774,-1.339060061,-0.498408759,1.380277492,0.402131234,0.142209098,-0.700277171,0.262276431,0.217691856,0.01101968,0.271119105,0.146192922,0.642835221
10.141,1,0,0,0,0,0,0,0,0.306653493,-1.688030973,-0.765465017,1.288163177,0.616702105,0.763223112,-0.694779281,0.263259065,0.401407591,0.604446795,-0.073520537,0.060761382,0.742934164
10.1127,1,0,0,0,0,0,0,0,0.299889907,-1.770985944,-1.10621268,1.38530502,0.616702105,0.838673413,-0.700277171,0.260311163,0.553654359,1.110047766,-0.014485043,-0.03154812,0.794629166
10.79,1,0,0,0,0,0,0,0,0.461230337,-1.866133312,-1.487689688,1.333950533,1.045841807,0.824744127,-0.700277171,0.261293797,0.375917264,0.133816114,0.16262144,0.054607415,0.794224113
12.3874,1,0,0,0,0,0,0,0,0.841690579,-1.718541134,-1.175601346,1.360470085,1.045841807,0.833449931,-0.700277171,0.262276431,0.42745407,0.119133931,0.162089588,0.283028184,0.794173481
12.6209,1,0,0,0,0,0,0,0,0.897294738,-1.494644384,-1.016965752,1.31740707,1.260412677,-0.175262553,-0.700277171,0.261293797,0.546099953,0.592434101,0.483327773,0.37099371,0.794021586
11.9982,1,0,0,0,0,0,0,0,0.748971663,-1.512582959,-0.922235624,1.338629292,1.260412677,-0.496216525,-0.700277171,0.261293797,0.676703117,1.403958362,0.645542419,0.293526128,0.794072217
11.3715,1,0,0,0,0,0,0,0,0.599730916,-1.518183295,-0.339235323,1.335806243,1.260412677,-1.186876971,-0.700277171,0.262276431,0.543180152,0.919980242,0.796056337,0.170446791,0.794325376
11.4221,1,0,0,0,0,0,0,0,0.611762623,-1.57272823,-0.620799357,1.268566347,0.831272975,-1.721413333,-0.700277171,0.263259065,0.451461323,0.337231077,1.018370179,0.221126518,0.794072217
11.4839,1,0,0,0,0,0,0,0,0.626479372,-1.533992575,-0.935905206,1.29793527,1.260412677,-1.022047083,-0.700277171,0.261293797,0.4042347,0.044121327,1.341735769,0.228728477,0.794831693
13.6707,1,0,0,0,0,0,0,0,1.147343515,-1.182104822,-1.673154542,1.343400179,1.260412677,-1.766103127,-0.700277171,0.918675933,0.451646707,-0.063192079,0.412059699,0.476335142,0.794882325
13.9319,1,0,0,0,0,0,0,0,1.209541321,-1.195318114,-2.029108479,1.276272152,1.260412677,-0.58037263,-0.700277171,0.262276431,0.459618227,-0.105369984,0.492369245,0.546200766,0.794274744
13.7932,1,0,0,0,0,0,0,0,1.176505109,-1.106762807,-1.768352662,1.300593806,1.260412677,-1.726636816,-0.700277171,0.262276431,0.461842838,-0.125658091,0.579592858,0.592536516,0.794629166
13.6176,1,0,0,0,0,0,0,0,1.134666038,-1.298340954,-1.357378137,1.264400869,1.260412677,-1.648864967,-0.700277171,0.262276431,0.469489936,-0.137937734,0.675857943,0.667470112,0.794325376
13.3713,1,0,0,0,0,0,0,0,1.076036959,-1.20164766,-1.274152251,1.280299439,1.260412677,-1.685429344,-0.700277171,0.262276431,0.450997862,-0.176912255,0.72797937,0.583486565,0.794224113
13.7495,1,0,0,0,0,0,0,0,1.16610482,-1.139898126,-1.284035979,1.296967932,1.260412677,-1.698197856,-0.700277171,0.262276431,0.463094181,-0.174509716,0.772123028,0.613170405,0.794274744
13.7862,1,0,0,0,0,0,0,0,1.174839703,-1.200918449,-0.984220225,1.299073703,1.260412677,-1.66337464,-0.52297022,0.261293797,0.475932036,-0.168903791,0.832754076,0.681226038,0.794173481
11.0008,1,0,0,0,0,0,0,0,0.511430424,-1.241841735,-1.419684046,1.279759835,1.260412677,-1.73708378,-0.112002944,0.261293797,0.525475962,0.862319307,0.586506925,0.162482834,0.791743157
8.3441,1,0,0,0,0,0,0,0,-0.121321795,-1.185342516,-1.411784048,1.302916734,1.260412677,-1.775389318,0.124406325,0.262276431,0.288323234,-0.03035738,0.500347014,-0.312096608,0.794527903
8.2301,1,0,0,0,0,0,0,0,-0.148478105,-1.1628245,-1.035140637,1.379277251,-0.027008468,-1.789318604,0.124406325,0.262276431,0.250690242,-0.217755416,0.489709988,-0.335264483,0.794629166
8.3091,1,0,0,0,0,0,0,0,-0.129682811,-1.281044084,-1.147619567,1.241165004,0.187562402,-1.778871639,0.124406325,0.262276431,0.241513725,-0.282623968,0.482795922,-0.316078587,0.794578535
8.1042,1,0,0,0,0,0,0,0,-0.178455408,-1.162211963,-1.061508889,1.369116906,-0.885287873,-1.796283247,0.124406325,0.263259065,0.226822028,-0.334678978,0.731170478,-0.351192397,0.794831693
6.9929,1,0,0,0,0,0,0,0,-0.443152957,-1.201530986,-0.566938274,1.292848518,1.045841807,-1.822981046,0.124406325,0.262276431,0.178900214,-0.401683119,0.910404366,-0.545947348,0.794325376
7.074,1,0,0,0,0,0,0,0,-0.423813858,-1.0187617,-0.685808449,1.258208587,1.045841807,-1.871733548,0.124406325,0.261293797,0.178622138,-0.408890736,0.788078567,-0.550653322,0.794477271
7.1524,1,0,0,0,0,0,0,0,-0.405154516,-0.914134597,-0.930491856,1.424353908,1.045841807,-1.976783582,0.124406325,0.261293797,0.169167544,-0.419835635,0.686494969,-0.605315028,0.79442664
7.3349,1,0,0,0,0,0,0,0,-0.361718015,-0.866590082,-0.983430924,1.262005555,1.045841807,-1.969818939,0.124406325,0.262276431,0.174682724,-0.413962762,0.709364575,-0.582871149,0.794578535
7.3917,1,0,0,0,0,0,0,0,-0.348190842,-0.988018191,-1.042069725,1.270211481,1.045841807,-1.917003728,0.124406325,0.264241699,0.176073105,-0.423839867,1.167820394,-0.560789268,0.794679798
7.3148,1,0,0,0,0,0,0,0,-0.366476317,-1.142698294,-1.026220834,1.319012721,1.045841807,-1.867090452,0.124406325,0.262276431,0.178436753,-0.427310201,1.320461717,-0.531829424,0.794477271
7.465,1,0,0,0,0,0,0,0,-0.330721076,-0.989972475,-1.131260773,1.4116798,1.045841807,-1.910619472,0.124406325,0.261293797,0.182237129,-0.42757715,1.422577167,-0.514453517,0.79442664
8.6339,1,0,0,0,0,0,0,0,-0.052292426,-1.130972591,-1.419069369,1.361549292,1.045841807,-2.017410667,0.124406325,0.262276431,0.212408407,-0.392072963,0.680644605,-0.435537943,0.795388642
10.9418,1,0,0,0,0,0,0,0,0.497393433,-0.959753998,-0.99161032,1.350737475,1.045841807,-0.704575433,0.124406325,0.261293797,0.305054157,-0.305848511,-0.802688668,-0.068109923,0.794629166
11.0848,1,0,0,0,0,0,0,0,0.531415293,-0.923876848,-0.397119747,1.343538371,1.045841807,-0.167137136,0.124406325,0.262276431,0.305239541,-0.309051896,-0.73833466,-0.10394773,0.79503422
10.924,1,0,0,0,0,0,0,0,0.493144949,-0.838705077,-0.690579181,1.351059921,1.045841807,0.78817975,0.124406325,0.262276431,0.29680456,-0.32106459,-0.689404341,-0.147387496,0.794578535
11.0442,1,0,0,0,0,0,0,0,0.521762737,-1.154307323,-0.761735044,1.335582505,1.045841807,0.188640052,0.124406325,0.263259065,0.31205241,-0.307450203,-0.607499241,-0.082589845,0.794679798
10.8107,1,0,0,0,0,0,0,0,0.466158578,-1.136660432,-0.931476736,1.339168896,1.045841807,0.261768805,0.124406325,0.263259065,0.307649536,-0.315725615,-0.547400044,-0.093449787,0.794072217
10.0353,1,0,0,0,0,0,0,0,0.28146848,-1.821388964,-0.298471053,1.278608242,1.045841807,0.18341657,0.124406325,0.262276431,0.290223421,-0.321865437,-0.238926291,-0.147387496,0.794831693
9.8446,1,0,0,0,0,0,0,0,0.236060683,-1.085907391,-0.663093335,1.348743573,0.187562402,0.152075675,0.124406325,0.262276431,0.274094997,-0.320263744,-0.554845962,-0.28205077,0.794325376
10.1744,1,0,0,0,0,0,0,0,0.314606656,-1.123476309,-0.74761144,1.280371825,-0.027008468,0.275698091,0.124406325,0.262276431,0.29481168,-0.307717152,-0.354338023,-0.211823149,0.79503422
10.8006,1,0,0,0,0,0,0,0,0.463745439,-0.889778971,-0.890447038,1.274488828,1.474981509,0.189220439,0.125780798,0.261293797,0.328551603,-0.28209007,-0.217652239,-0.087657818,0.793970954
11.3273,1,0,0,0,0,0,0,0,0.589194676,-1.000064747,-1.126916123,1.294368621,0.831272975,0.34592491,0.125780798,0.262276431,0.347507137,-0.276217197,0.046146005,-0.037340089,0.794477271
9.4981,1,0,0,0,0,0,0,0,0.153538129,-0.817616314,-1.018991392,1.308148259,0.187562402,0.101582013,0.124406325,0.263259065,0.263435406,-0.362708599,0.353556056,-0.328024522,0.793970954
8.3124,1,0,0,0,0,0,0,0,-0.128867102,-0.895729328,-0.292296342,1.391944778,0.187562402,0.238553328,0.124406325,0.261293797,0.209395914,-0.415564455,0.520557364,-0.532191422,0.79442664
8.1521,1,0,0,0,0,0,0,0,-0.167069471,-0.713630916,-0.359219314,1.156618303,-0.2415773,-0.807884306,0.124406325,0.263259065,0.212640137,-0.419568687,0.647137973,-0.501059589,0.794122849
7.6813,1,0,0,0,0,0,0,0,-0.279195461,-0.591677774,-0.562998752,1.430690962,0.187562402,-1.31746403,0.124406325,0.262276431,0.188957306,-0.447865256,0.71574679,-0.609659004,0.794578535
7.6362,1,0,0,0,0,0,0,0,-0.289935629,-0.277242265,-0.756733807,1.222213066,0.187562402,-0.151466689,0.124406325,0.262276431,0.181912707,-0.451068641,0.529598836,-0.667578692,0.794578535
7.9969,1,0,0,0,0,0,0,0,-0.204048276,-0.739999162,-0.754631332,1.459724278,0.187562402,-1.030752887,0.124406325,0.262276431,0.199153437,-0.414763609,0.00732086,-0.631016889,0.794477271
8.3265,1,0,0,0,0,0,0,0,-0.125502303,-0.648672856,-0.309192978,1.167410379,-0.027008468,0.495664738,0.124406325,0.262276431,0.223763189,-0.404886504,0.545022524,-0.53798339,0.794224113
7.4766,1,0,0,0,0,0,0,0,-0.32793407,-0.087968423,-0.579057192,1.2194295,-0.027008468,0.322129046,0.124406325,0.261293797,0.052978001,-0.43611951,0.635437244,-0.7588022,0.657315898
7.3605,1,0,0,0,0,0,0,0,-0.355600198,-0.668274031,-1.173806209,1.446135476,-0.027008468,0.267572674,0.124406325,0.262276431,-0.284745651,-0.460411848,1.001882789,-0.722240397,0.288159909
7.4952,1,0,0,0,0,0,0,0,-0.323515647,-0.653864834,-1.197038211,1.521212788,0.187562402,0.319807498,0.124406325,0.263259065,-0.275198365,-0.456140668,1.099211577,-0.682058614,0.288210541
7.8253,1,0,0,0,0,0,0,0,-0.244901698,-0.454527889,-1.185142811,1.481973064,0.187562402,0.248419906,0.124406325,0.258345895,-0.26282397,-0.448933051,1.180052974,-0.644772815,0.288008014
8.0695,1,0,0,0,0,0,0,0,-0.186714461,-0.411504478,-0.754177309,1.441331686,-0.027008468,0.282082348,0.124406325,0.262276431,-0.248364003,-0.440924588,1.25610771,-0.597713069,0.288210541
