DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
14.8067,1,0,0,0,0,0,0,0,10.3761,36.4218,25.878,61.4243,11.69999981,49.5,15.8,80,843.94,102.97,48.16,62.94,734.13,1.979390925,0.434057493,-1.477707405,2.568430083,0.028725011,0.301904523,-1.535997127,0.09281933,1.086311528,6.804784801,-0.50429629,0.419922846,1.087229175
11.3424,1,0,0,0,0,0,0,0,7.9484,35.9051,42.664,58.9244,11.69999981,44.72,15.51,79.95,873.52,143.79,45.6,47.23,742.8,0.438447758,0.271976402,-0.056620976,2.266776141,0.028725011,-0.128190523,-1.627056195,0.08541257,1.438116407,10.1550767,-0.699890239,-0.272539479,1.227628697
9.4384,1,0,0,0,0,0,0,0,6.6141,35.6747,43.2105,58.6594,11.69999981,47.55,14,81.09,816.23,95.36,46.67,40.51,749.93,-0.408477507,0.199703354,-0.010354817,2.234799544,0.028725011,0.126447339,-2.101191343,0.254286705,0.756747187,6.180195841,-0.618138081,-0.568742332,1.343089895
8.4057,1,0,0,0,0,0,0,0,5.8905,32.2988,43.5565,58.4998,11.69999981,49.76,13.99,80,865.05,151.28,46.14,36.43,750.63,-0.867770861,-0.859266178,0.018937206,2.215541186,0.028725011,0.325298814,-2.104331311,0.09281933,1.337379851,10.76981668,-0.658632141,-0.748579779,1.354425496
8.8433,1,0,0,0,0,0,0,0,6.1971,32.4543,43.8476,57.6499,11.69999981,46.94,14,79.99,932.38,214.07,48.22,40.7,750.04,-0.673161488,-0.810488144,0.043581449,2.112986809,0.028725011,0.071560733,-2.101191343,0.091337978,2.138158166,15.92329116,-0.499712056,-0.560367549,1.344871203
8.0417,1,0,0,0,0,0,0,0,5.6354,29.7332,43.9583,59.0153,12.10000038,37.59,14,80.01,945.82,232.12,52.09,37.45,749.86,-1.029691445,-1.664056672,0.052953203,2.277744717,0.596472423,-0.769733969,-2.101191343,0.094300682,2.298004602,17.40474066,-0.204029015,-0.703620417,1.341956334
8.0663,1,0,0,0,0,0,0,0,5.6526,33.4678,40.6123,59.8691,11.39999962,52.9,14,80.01,864,152.96,52.87,35.26,750,-1.018774024,-0.492568295,-0.230315902,2.380769692,-0.397085211,0.607829868,-2.101191343,0.094300682,1.324891849,10.90770229,-0.144433984,-0.800150812,1.344223455
9.2385,1,0,0,0,0,0,0,0,6.474,34.8754,39.1271,60.9254,11.39999962,53.94,14.11,79.86,782.9,64.62,60.54,40.5,749.44,-0.497403708,-0.051025147,-0.356051489,2.508229614,-0.397085211,0.701407033,-2.066651696,0.072080401,0.360342298,3.657217574,0.441583826,-0.56918311,1.335154973
10.4893,1,0,0,0,0,0,0,0,7.3505,35.2673,33.9282,61.896,11.80000019,66.99,14.3,79.89,774.03,47.93,63.74,47.19,747.33,0.058940439,0.071908044,-0.796185305,2.625348426,0.170662201,1.875620493,-2.006992307,0.076524457,0.254848407,2.287389751,0.686076263,-0.274302591,1.300986232
11.5813,1,0,0,0,0,0,0,0,8.1158,35.0403,28.3198,54.6868,12,70.01,14.28,80.31,783.13,48.76,65.02,53.82,745.96,0.544702191,0.000701526,-1.270986993,1.755440188,0.454535233,2.147354183,-2.013272243,0.138741244,0.363077765,2.355511806,0.783873238,0.01793326,1.27880084
