DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH
7.6766,5.3795,34.9838,36.2278,60.3906,11.89999962
11.6362,8.1543,32.4748,30.1369,60.862,12
11.8785,8.3241,32.4805,28.7986,60.1953,12
11.6876,8.1903,31.9056,25.4812,59.67,12
11.4159,7.9999,32.5715,29.8005,60.1689,11.89999962
13.295,9.3167,33.2245,35.5625,59.3849,12
13.3951,9.3868,33.6996,28.3047,58.9848,12.19999981
12.1197,8.4931,33.4899,28.7223,58.8148,12.19999981
10.1367,7.1034,34.0121,37.8906,58.7294,12.19999981
10.54,7.3861,34.6413,33.7884,58.362,12.19999981
10.7365,7.5238,35.1396,33.6263,58.3324,12
10.6534,7.4656,35.0975,36.7743,58.3737,12
10.8349,7.5928,34.8994,33.1106,58.1854,12
10.8392,7.5958,35.216,32.0056,58.7003,12.39999962
10.9094,7.645,34.3569,38.0185,57.0738,12.39999962
10.9646,7.6837,35.2729,35.2012,58.6256,12
10.4135,7.2975,35.4807,32.3119,57.787,12
9.7869,6.8583,34.4609,40.0005,57.9954,11.69999981
9.3687,6.5653,34.5403,40.04,57.7056,11.69999981
9.3166,6.5288,34.7154,40.1285,57.5697,11.60000038
8.58,6.0126,34.1517,37.2217,57.4482,11.69999981
9.0851,6.3665,34.1664,35.8227,58.1425,11.5
10.3891,7.2803,34.6702,31.8905,59.2268,11.69999981
11.185,7.8381,35.226,29.8336,59.0153,11.69999981
12.0954,8.476,35.9401,25.4548,59.6546,11.69999981
12.2799,8.6053,35.6904,23.7481,58.2794,11.80000019
12.4048,8.6929,35.1854,35.8864,58.7853,11.69999981
12.1038,8.4819,33.6839,31.9886,58.5518,11.80000019
12.0741,8.4612,33.4043,28.3277,58.0929,11.80000019
10.3645,7.2631,33.6752,33.5122,58.056,11.80000019
8.7024,6.0984,32.2411,35.1745,58.6248,11.69999981
9.2754,6.4999,32.8118,32.7484,58.874,11.69999981
7.1684,5.0234,32.8957,30.5584,60.361,11.69999981
7.2188,5.0587,33.014,30.6723,58.6822,12
7.6742,5.3778,34.2385,30.9424,58.5544,12
8.3744,5.8685,34.5598,34.7624,57.3096,12
8.436,5.9116,35.0072,38.4953,59.4403,12
8.4405,5.9148,34.9779,37.1548,55.77,12
8.5462,5.9889,34.93,36.8679,58.63,12
8.3104,5.8237,35.0354,38.244,55.4935,11.60000038
8.0062,5.6105,34.5568,39.9838,57.7686,11.69999981
8.0066,5.6108,33.9478,39.6498,56.3427,11.69999981
8.1398,5.7041,34.5906,39.9216,52.5275,11.69999981
8.5191,5.9699,34.7225,39.862,53.6757,11.69999981
8.3176,5.8287,34.913,39.6298,50.3718,11.60000038
8.1192,5.6896,34.6284,39.6301,44.6787,11.60000038
8.1626,5.7201,34.7445,39.1081,57.8476,11.60000038
8.2269,5.7652,34.6675,39.3715,45.474,11.60000038
8.349,5.8507,34.6804,39.5653,47.2406,11.60000038
8.2632,5.7906,34.4124,39.7662,66.4644,11.60000038
8.4095,5.8931,34.8006,39.7499,76.3536,11.39999962
8.6184,6.0395,35.4172,39.2858,70.7776,11.39999962
8.4137,5.8961,36.8913,39.5422,34.6077,11.39999962
7.6102,5.333,35.7825,39.5084,21.7093,11.39999962
7.6816,5.383,36.3775,39.2594,22.1892,11.39999962
7.9669,5.583,37.58,39.1355,18.4325,11.89999962
8.43,5.9075,38.4541,39.6771,17.5931,11.60000038
12.264,8.5942,37.626,36.1632,44.9608,11.5
13.3822,9.3778,37.9805,39.7383,58.5438,11.60000038
13.2673,9.2973,37.9249,39.7032,59.0785,11.39999962
12.3913,8.6834,37.0992,39.8757,59.0308,11.5
12.4398,8.7174,36.1642,39.8697,58.1514,11.5
13.1342,9.204,38.0615,39.7255,59.5483,11.5
13.1732,9.2314,36.7085,39.5111,57.8759,11.5
13.5285,9.4804,37.3494,39.8866,55.8662,11.39999962
3.0833,2.1607,36.1164,41.5072,60.2025,11.39999962
7.8828,5.524,35.346,34.9184,51.945,11.5
11.2696,7.8974,35.2818,39.9941,56.733,11.39999962
11.6167,8.1406,35.7356,40.1236,57.1004,11.30000019
11.3693,7.9672,35.6827,40.2578,57.1298,11.30000019
9.6361,6.7527,36.4628,40.2383,57.7485,11.19999981
8.9068,6.2416,36.8144,40.6015,57.1463,11.39999962
6.0503,4.2398,34.1389,44.1884,58.0203,11.39999962
8.4535,5.924,34.413,40.8808,57.1372,11.39999962
8.6324,6.0493,33.9257,40.463,57.0404,11.39999962
11.1019,7.7799,30.5325,40.0718,57.293,11.39999962
12.4644,8.7347,29.1757,40,57.2276,11.39999962
12.3718,8.6698,32.1284,40.0282,56.7276,11.39999962
11.981,8.3959,30.5802,39.89,46.8779,11.39999962
11.9925,8.4039,29.6791,40.0296,51.8709,11.39999962
11.8999,8.339,29.4352,40.0199,53.1455,11.39999962
11.7589,8.2403,31.4295,40.3369,53.0316,11.10000038
10.1312,7.0996,31.2383,40.0811,52.4928,10.60000038
8.9518,6.2731,32.4555,40.056,53.5029,10.60000038
10.4243,7.305,33.0301,39.9997,54.3128,10.60000038
10.8758,7.6214,33.3085,40.0003,53.729,11.5
11.0582,7.7492,31.436,40.0167,53.8668,11.5
12.4564,8.7291,32.5034,40.001,51.856,11.60000038
13.8759,9.7238,34.2367,39.9263,49.4126,11.60000038
13.381,9.3769,34.7965,40.0086,47.7804,11.60000038
13.7298,9.6214,36.7078,39.9996,47.752,11.5
14.5379,10.1877,41.2617,40.0048,46.1231,11.39999962
13.9476,9.774,39.3247,40.0277,49.7393,11.30000019
13.818,9.6832,39.3029,40.0438,53.579,11.69999981
13.2632,9.2944,38.3935,39.9968,52.9194,11.69999981
12.4644,8.7346,37.7449,40.0041,52.7266,11.69999981
12.3654,8.6653,36.7878,40.0238,52.813,11.69999981
12.3978,8.6879,36.8364,40.0787,53.048,11.69999981
12.4455,8.7214,37.6912,40.0058,52.5971,11.5
12.7545,8.938,38.6534,40.018,51.6218,11.5
12.0235,8.4257,34.6455,40.0886,52.9799,11.5
11.736,8.2242,34.7505,40.0455,49.8576,11.19999981
11.6777,8.1833,34.5308,40.0472,49.5537,11.19999981
11.4341,8.0126,33.5291,40.0846,48.1742,11.39999962
11.5377,8.0852,34.0676,40.0391,48.3738,10.89999962
11.0079,7.7139,34.013,40.1133,47.8782,10.89999962
11.0386,7.7355,33.5758,40.1953,51.9695,10.89999962
10.4899,7.351,34.0156,40.0364,48.8877,11.69999981
11.0851,7.7681,34.7446,40.033,49.3227,11.69999981
11.8934,8.3345,33.1439,39.9751,49.1084,11.30000019
12.0434,8.4396,32.0461,39.9412,42.2146,11.39999962
10.9882,7.7002,32.3819,39.8349,48.6172,11.39999962
9.8175,6.8798,32.2978,39.9486,60.9146,11.39999962
10.6989,7.4974,32.033,39.9493,56.3819,11.5
12.8144,8.9799,34.3228,39.982,51.7915,12
12.866,9.0161,34.2004,39.3604,47.5113,11.60000038
12.4682,8.7373,35.3006,39.5004,41.7161,11.69999981
12.1951,8.5459,35.1786,39.6828,39.4129,11.69999981
12.5716,8.8097,35.579,39.5845,50.2081,11.69999981
12.2699,8.5984,34.7321,39.3074,47.7872,12.10000038
10.7297,7.519,33.1648,38.2659,42.757,12.10000038
10.3891,7.2803,31.9773,39.3411,48.1836,12.10000038
11.036,7.7337,31.2443,37.9097,43.2748,12.10000038
10.3996,7.2877,31.2163,39.1586,48.1026,12.10000038
9.7607,6.84,30.4507,39.7247,36.517,11.89999962
10.2998,7.2178,31.2619,39.641,40.3906,11.89999962
10.245,7.1793,31.7388,39.5648,40.1348,11.5
10.2568,7.1876,31.6765,39.2672,46.4694,12
10.3028,7.2198,32.3078,39.3908,33.9346,11.89999962
10.3593,7.2595,32.2581,39.1871,49.2686,11.5
10.3393,7.2454,32.0106,39.1487,42.2065,11.39999962
10.8944,7.6345,32.17,39.2195,40.7392,11.39999962
10.9826,7.6963,32.3352,38.9278,32.6792,11.5
11.4545,8.0269,32.9536,39.4943,41.3313,11.69999981
11.5296,8.0796,32.7375,39.6251,36.5679,11.69999981
10.8221,7.5838,32.8593,38.8917,58.6613,11.80000019
11.4808,8.0453,33.0153,38.0432,63.1081,11.30000019
9.3123,6.5258,31.8991,39.086,60.0536,11.30000019
9.7546,6.8357,33.0649,39.3137,83.1247,11.30000019
11.3198,7.9326,33.8556,38.6605,51.148,11.69999981
11.7267,8.2177,33.8728,37.9423,22.0636,11.69999981
11.3872,7.9798,32.7711,37.0899,23.8432,11.69999981
10.4472,7.3211,32.5362,37.6928,21.4914,11.69999981
10.7528,7.5352,30.6077,38.6742,40.9523,11.69999981
11.0226,7.7243,33.0507,36.9261,59.3981,11.60000038
11.1814,7.8355,33.1761,37.5596,57.6572,11.30000019
11.5291,8.0792,33.2413,38.7285,56.6356,11.19999981
11.6736,8.1805,32.9735,38.383,59.9447,11.30000019
11.2657,7.8946,32.605,37.5201,55.9693,11.19999981
10.8695,7.617,33.2669,36.2587,56.3842,11.19999981
10.6111,7.4359,33.2911,36.0664,57.6234,11.19999981
10.4103,7.2952,32.6878,36.8867,56.934,11.19999981
10.2389,7.1751,32.4851,37.6135,57.0512,11.19999981
10.376,7.2712,32.522,38.6827,57.675,11.19999981
12.7358,8.9248,32.6944,37.5704,55.7367,11.19999981
13.9616,9.7838,32.6137,35.6309,57.0766,11.19999981
14.2323,9.9735,32.4012,35.3058,52.6313,11.19999981
14.6357,10.2562,34.1501,35.2974,55.8417,11.19999981
14.1552,9.9195,34.6809,37.256,54.6709,11.39999962
14.0547,9.849,33.55,35.9769,56.4026,12.19999981
12.3122,8.628,32.3142,34.7371,57.6262,11.60000038
9.5838,6.716,33.4311,32.8338,53.202,11.69999981
8.4059,5.8906,34.1574,26.4679,54.6908,11.19999981
2.0791,2.2725,29.9201,25.6179,49.5588,11.19999981
0.1709,0.19,30.04,30.2676,2.3187,11.30000019
4.274,4.67,30.7,27.3577,19.387,11.30000019
6.742,7.37,32.04,28.6185,20.251,11.19999981
7.2324,7.91,32.74,23.4733,40.4346,11.69999981
7.4308,8.12,33.38,30.6144,61.478,11.69999981
