DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
0,0,29.6553,34.6287,60.97,12.10000038,69.81,0.04,77.87,542.92,59.64,11.77,9.06,52.64
0,0,28.8019,34.7856,69.1606,12.10000038,70.26,0.05,77.23,542.65,59.62,12.00,9.38,55.05
0,0,27.6518,35.3282,73.607,12.10000038,70.86,0.07,76.64,541.12,59.67,12.20,10.10,48.32
0,0,28.6905,35.6994,44.321,12.10000038,71.14,0.06,76.99,540.12,59.61,12.32,10.50,44.93
0,0,28.7381,35.8207,53.0127,12.10000038,71.17,0.05,77.26,539.53,59.66,12.39,9.86,47.98
0,0,29.1681,35.848,60.634,12.10000038,71.14,0.04,77.43,539.34,59.64,12.53,9.30,51.28
0,0,29.2877,35.7706,66.6771,12.10000038,71.31,0.04,77.61,539.14,59.62,12.57,9.16,55.26
0,0,30.0023,35.5672,72.5338,12.10000038,71.35,0.03,77.73,544.69,58.60,12.55,8.87,60.80
6.1791,4.3301,29.5182,44.7233,61.3977,12.10000038,52.01,12.43,79.46,693.93,24.86,52.39,13.71,637.96
7.1078,4.9809,29.6461,38.0278,49.1636,11.30000019,47.93,14.00,79.98,690.29,16.67,66.38,31.91,720.10
10.7505,7.5336,30.069,35.7656,49.7773,11.89999962,48.95,14.00,80.01,719.94,22.64,53.59,47.56,720.15
10.632,7.4505,29.8193,34.6911,59.9787,11.89999962,47.39,14.00,80.00,727.92,28.17,56.58,50.07,720.05
10.141,7.1065,28.6229,30.8678,58.5789,12,58.09,14.04,80.01,767.56,50.40,50.10,47.71,739.82
10.1127,7.0866,28.3385,25.9895,60.0551,12,59.39,14.00,79.98,800.41,69.34,51.21,45.16,750.03
10.79,7.5613,28.0123,20.5281,59.2747,12.19999981,59.15,14.00,79.99,762.06,32.77,54.54,47.54,749.95
12.3874,8.6807,28.5183,24.9961,59.6777,12.19999981,59.30,14.00,80.00,773.18,32.22,54.53,53.85,749.94
12.6209,8.8443,29.2859,27.2672,59.0233,12.30000019,41.92,14.00,79.99,798.78,49.95,60.57,56.28,749.91
11.9982,8.4079,29.2244,28.6234,59.3458,12.30000019,36.39,14.00,79.99,826.96,80.35,63.62,54.14,749.92
11.3715,7.9688,29.2052,36.9699,59.3029,12.30000019,24.49,14.00,80.00,798.15,62.22,66.45,50.74,749.97
11.4221,8.0042,29.0182,32.9389,58.2811,12.10000038,15.28,14.00,80.01,778.36,40.39,70.63,52.14,749.92
11.4839,8.0475,29.151,28.4277,58.7274,12.30000019,27.33,14.00,79.99,768.17,29.41,76.71,52.35,750.07
11.7454,8.2308,29.4428,24.3199,58.4456,12.30000019,14.56,14.00,80.00,765.41,25.25,72.64,53.02,749.96
13.6707,9.58,30.3574,17.8729,59.4183,12.30000019,14.51,14.00,86.68,778.40,25.39,59.23,59.19,750.08
13.9319,9.763,30.3121,12.7769,58.3982,12.30000019,34.94,14.00,80.00,780.12,23.81,60.74,61.12,749.96
13.7932,9.6658,30.6157,16.51,58.7678,12.30000019,15.19,14.00,80.00,780.60,23.05,62.38,62.40,750.03
